Date,Predicted_HashRate,Actual_HashRate
2022-08-04,2.3348606097088892e+20,1.848752884348028e+20
2022-08-05,2.4059655091329306e+20,2.100855550395486e+20
2022-08-06,2.3881309656921388e+20,2.254918290757822e+20
2022-08-07,2.3268808770340114e+20,2.2269068834192153e+20
2022-08-08,2.295947288946808e+20,2.0168213283796668e+20
2022-08-09,2.3222610287815374e+20,2.0028156247103635e+20
2022-08-10,2.3185105490164544e+20,2.07284414305688e+20
2022-08-11,2.3952946628684068e+20,1.960798513702454e+20
2022-08-12,2.3162744085417545e+20,2.1568783650726992e+20
2022-08-13,2.2763077853242357e+20,1.9467928100331507e+20
2022-08-14,2.3429598061754135e+20,1.862758588017331e+20
2022-08-15,2.3568930103988208e+20,2.03082703204897e+20
2022-08-18,2.432566636313348e+20,2.0294870625393135e+20
2022-08-19,2.2463313634018266e+20,2.5086715078610957e+20
2022-08-20,2.236512748298303e+20,2.0999553633219284e+20
2022-08-21,2.2240470766071893e+20,2.0576743828523595e+20
2022-08-22,2.3935757870225985e+20,2.0435807226958365e+20
2022-08-23,2.238030993658133e+20,2.4241095469219575e+20
2022-08-24,2.3246135291801738e+20,2.0576743828523595e+20
2022-08-25,2.4612290446839477e+20,2.2408919648871583e+20
2022-08-26,2.217849051125591e+20,2.4804841875480497e+20
2022-08-27,2.3075335827655773e+20,2.0435807226958365e+20
2022-08-28,2.2788159058835076e+20,2.269079285200205e+20
2022-08-29,2.3850123206641792e+20,2.2127046445741126e+20
2022-08-30,2.2853629610754336e+20,2.2831729453567273e+20
2022-08-31,2.275728242420742e+20,2.2482212892014556e+20
2022-09-03,2.493806194141863e+20,2.2636200651548895e+20
2022-09-04,2.3986035863715312e+20,2.5869943601770168e+20
2022-09-05,2.3277272957157343e+20,2.3560127208754977e+20
2022-09-06,2.3059936218401282e+20,2.1866261853877168e+20
2022-09-09,2.5014061844944408e+20,2.2636200651548895e+20
2022-09-10,2.6773449567457018e+20,2.4176078246892365e+20
2022-09-11,2.5167864655470445e+20,2.817975999478537e+20
2022-09-12,2.4040312487510452e+20,2.3560127208754977e+20
2022-09-17,2.41265884964643e+20,2.708071889428405e+20
2022-09-20,2.281801436576479e+20,2.421334865841868e+20
2022-09-23,2.3491550668107104e+20,2.1505276768990275e+20
2022-09-24,2.3507456082022993e+20,2.3257558579796892e+20
2022-09-25,2.450264870090226e+20,2.3416856926233857e+20
2022-09-28,2.469162888131476e+20,2.3384119581300297e+20
2022-09-29,2.6470293114937796e+20,2.229286066750628e+20
2022-09-30,2.7507508470550115e+20,2.634610806159833e+20
2022-10-01,2.59073796198412e+20,2.8216837628102355e+20
2022-10-02,2.5688196666672392e+20,2.4475378495094312e+20
2022-10-03,2.6140045976287537e+20,2.4007696103468306e+20
2022-10-04,2.6134109136462843e+20,2.541074327834632e+20
2022-10-05,2.5115943229379412e+20,2.728147284485034e+20
2022-10-06,2.5757015772403712e+20,2.4787166756178313e+20
2022-10-07,2.5780354684409276e+20,2.6657896322682333e+20
2022-10-08,2.4686206931093245e+20,2.728147284485034e+20
2022-10-09,2.525700227078485e+20,2.463127262563631e+20
2022-10-10,2.4429444437184797e+20,2.9739732617887416e+20
2022-10-11,2.3913834695712722e+20,2.7792488220287648e+20
2022-10-12,2.4847415650335497e+20,2.4252043861015337e+20
2022-10-13,2.640659711019527e+20,2.531417716879703e+20
2022-10-14,2.5878547154473298e+20,2.7615466002324036e+20
2022-10-15,2.530657738249651e+20,2.690737713046957e+20
2022-10-16,2.5910852559480786e+20,2.549119938676065e+20
2022-10-17,2.537091719305847e+20,2.655333269454234e+20
2022-10-18,2.6527617135946072e+20,2.5137154950833416e+20
2022-10-19,2.6051870372552655e+20,2.673035491250595e+20
2022-10-20,2.6802906322843537e+20,2.5668221604724264e+20
2022-10-21,2.539336605615437e+20,2.7615466002324036e+20
2022-10-22,2.6803340615633247e+20,2.407502164305172e+20
2022-10-23,2.5485486151117763e+20,2.743844378436042e+20
2022-10-26,2.6088944276397598e+20,2.8382231526580227e+20
2022-10-27,2.7715991805274554e+20,2.472000810379568e+20
2022-10-28,2.6795814555049017e+20,2.9114676211137128e+20
2022-10-29,2.6133042807748395e+20,2.61848974729095e+20
2022-10-30,2.8809727874253472e+20,2.472000810379568e+20
2022-10-31,2.6718521383745844e+20,3.1678232607086313e+20
2022-11-05,2.6556102092720344e+20,2.7649786842023317e+20
2022-11-06,2.686259503652753e+20,2.5086230446074128e+20
2022-11-07,2.766939828171205e+20,2.6315406942394417e+20
2022-11-08,2.5530285676081014e+20,2.978757869173813e+20
2022-11-09,2.4790275432749875e+20,2.722913635011645e+20
2022-11-10,2.4106853963842175e+20,2.6863644587027635e+20
2022-11-11,2.6512891926923048e+20,2.448794812695036e+20
2022-11-15,2.6486978968106438e+20,2.8325611639382884e+20
2022-11-16,2.553654796041427e+20,2.7411882231660852e+20
2022-11-17,2.6785574153341865e+20,2.5218931653127986e+20
2022-11-18,2.7334303792642045e+20,2.540167753467239e+20
2022-11-19,2.864328625893521e+20,2.6863644587027635e+20
2022-11-27,2.7940378694389327e+20,2.498073871320332e+20
2022-11-28,2.742896966440902e+20,2.5531784420112217e+20
2022-11-29,2.8324241843151585e+20,2.4062329201688488e+20
2022-11-30,3.015711886599901e+20,2.5348102517809247e+20
2022-12-03,2.9018626546334505e+20,2.4062329201688488e+20
2022-12-04,2.967272963583376e+20,2.5715466322415183e+20
2022-12-05,2.8580942056885184e+20,2.6817557736232973e+20
2022-12-06,3.107209720452748e+20,2.2980981929995407e+20
2022-12-07,3.0710733960703135e+20,2.9279473273771927e+20
2022-12-08,2.9285285315815244e+20,2.8428325794883207e+20
2022-12-09,2.876440373827603e+20,2.5874883358217047e+20
2022-12-10,2.8224420280374932e+20,2.621534234977254e+20
2022-12-11,2.7787822940700508e+20,2.5023735879328327e+20
2022-12-12,2.978752185217463e+20,2.434281789621736e+20
2022-12-13,2.765528305743537e+20,2.8087866803327723e+20
2022-12-14,2.6855525273385003e+20,2.519396537510608e+20
2022-12-17,2.6730278180884274e+20,2.349167041732864e+20
2022-12-18,2.602429314640931e+20,2.4683276887772846e+20
2022-12-19,2.6395467729958457e+20,2.3151211425773155e+20
2022-12-20,2.6641127313669754e+20,2.4611401515564e+20
2022-12-21,2.6009107776092353e+20,2.5138788690897515e+20
2022-12-22,2.5778982709908387e+20,2.3732422890008143e+20
2022-12-28,2.736650995603364e+20,2.9533681818676796e+20
2022-12-29,2.8636284611775817e+20,2.478719724067517e+20
2022-12-30,2.850661900162604e+20,2.7775724567565088e+20
2022-12-31,2.9169333311149035e+20,2.7424133117342745e+20
2023-01-01,2.9367197264446374e+20,2.7248337392231573e+20
2023-01-02,2.9190406341341567e+20,2.7424133117342745e+20
2023-01-03,2.8422963782201888e+20,2.6099928831940385e+20
2023-01-04,2.952887075309543e+20,2.4235648201087504e+20
2023-01-05,3.122030928156675e+20,2.6608369003991178e+20
2023-01-06,2.9369687553892073e+20,3.0506410323047206e+20
2023-01-07,2.9292411586856416e+20,2.6099928831940385e+20
2023-01-08,2.9415440481422852e+20,2.593044877459012e+20
2023-01-09,3.074767367987153e+20,2.576096871723986e+20
2023-01-10,2.9159694936439374e+20,2.864212969219432e+20
2023-01-11,2.9035143745264134e+20,2.4913568430488548e+20
2023-01-12,3.013779775613303e+20,2.55914886598896e+20
2023-01-13,3.1784971975051064e+20,2.6947329118691695e+20
2023-01-14,3.041199153802626e+20,2.8981089806894845e+20
2023-01-15,2.933405472694516e+20,2.7625249348092753e+20
2023-01-16,3.010798249790622e+20,2.74688843247084e+20
2023-01-17,2.8493757701969222e+20,2.9150652752751775e+20
2023-01-18,2.8676365642712236e+20,2.6160842214008003e+20
2023-01-19,2.7738749305643844e+20,2.7095158007365432e+20
2023-01-20,2.9218467839904127e+20,2.4665936944636117e+20
2023-01-21,2.952746947514273e+20,2.578711589666503e+20
2023-01-22,3.008456755646864e+20,2.8216336959394343e+20
2023-01-25,2.996331824080092e+20,3.2701052767510004e+20
2023-01-26,2.985350482858159e+20,2.8963789594080287e+20
2023-01-27,3.09498137958354e+20,2.8776926435408803e+20
2023-01-28,3.063662144302673e+20,3.13930106568096e+20
2023-01-29,2.86419989817723e+20,3.1493949960073635e+20
2023-02-01,3.029078655526203e+20,2.6799199655466385e+20
2023-02-02,2.9069397309735305e+20,2.8364116423668803e+20
2023-02-03,2.970536479436222e+20,2.6016741271365177e+20
2023-02-04,3.1039918928017084e+20,2.660358505944108e+20
2023-02-05,3.0474703171931184e+20,2.973341859584591e+20
2023-02-06,3.000189388322718e+20,2.8950960211744712e+20
2023-02-07,2.996946441786108e+20,2.7777272635592897e+20
2023-02-08,3.1719477815987385e+20,2.6994814251491685e+20
2023-02-09,3.00083195964045e+20,3.1689564556098935e+20
2023-02-10,3.002591879964459e+20,2.8755345615719403e+20
2023-02-11,3.123797704832447e+20,2.8950960211744712e+20
2023-02-12,3.0663738823175196e+20,3.153289831570438e+20
2023-02-13,3.059327489318852e+20,3.0365013192900516e+20
2023-02-14,3.1810571267414065e+20,2.9975718151965894e+20
2023-02-15,3.419392512995324e+20,3.1727545836171697e+20
2023-02-16,3.261939411504121e+20,3.4841906163648666e+20
2023-02-17,3.331127079422691e+20,3.211684087710631e+20
2023-02-18,3.2847067490237796e+20,3.270078343850824e+20
2023-02-19,3.162225461035867e+20,3.153289831570438e+20
2023-02-20,3.32726539859122e+20,2.861318550869471e+20
2023-02-21,3.04065703573785e+20,3.2506135918040934e+20
2023-02-22,3.30153772284511e+20,2.725065286542354e+20
2023-02-23,2.9433114581097185e+20,3.3284725999910185e+20
2023-02-26,3.006990928024481e+20,3.5955665818333754e+20
2023-02-27,2.980221172565312e+20,2.9963054848611464e+20
2023-02-28,3.381974796490319e+20,2.932098938756979e+20
2023-03-01,3.145288136945567e+20,3.638370945902821e+20
2023-03-02,3.286725185894331e+20,3.0819142130000364e+20
2023-03-03,3.153456745669583e+20,3.5955665818333754e+20
2023-03-04,3.183318756738758e+20,3.253131669277816e+20
2023-03-05,3.0523284423227304e+20,3.317338215381984e+20
2023-03-06,3.3440209011915096e+20,2.8250880285833668e+20
2023-03-07,3.041593295831138e+20,3.531360035729209e+20
2023-03-08,3.038381492739425e+20,2.8464902106180888e+20
2023-03-09,2.963578098979831e+20,2.889294574687534e+20
2023-03-10,3.23887071386364e+20,2.9106967567222568e+20
2023-03-11,3.2179431919030816e+20,3.572196959219307e+20
2023-03-12,3.3023554664725604e+20,3.485598245056415e+20
2023-03-13,3.327523900530617e+20,3.398999530893523e+20
2023-03-14,3.340351845560282e+20,3.1608530669455684e+20
2023-03-15,3.217705311427045e+20,3.182502745486292e+20
2023-03-16,3.415523823884303e+20,2.901056924456892e+20
2023-03-17,3.606817138741736e+20,3.182502745486292e+20
2023-03-18,3.466775031296676e+20,3.507247923597138e+20
2023-03-19,3.5595359136693774e+20,3.204152424027015e+20
2023-03-20,3.3921290226664486e+20,3.334050495271354e+20
2023-03-21,3.534384962657168e+20,3.139203388404846e+20
2023-03-22,3.716106875669087e+20,3.4422988879749684e+20
2023-03-23,3.5302922761681915e+20,3.9618911729523235e+20
2023-03-24,3.236372226049617e+20,3.7723288549311526e+20
2023-03-25,3.239816796444642e+20,3.376467184969242e+20
2023-03-26,3.2774479850837e+20,3.3531812043832466e+20
2023-03-27,3.1081335722690426e+20,3.446325126727226e+20
2023-03-28,3.2950923519798483e+20,3.120321398523299e+20
2023-03-29,3.372365007080042e+20,3.4230391461412313e+20
2023-03-30,3.2343281085266605e+20,3.6093269908291885e+20
2023-03-31,3.2354085986875395e+20,3.2833232626252625e+20
2023-04-01,3.315264600494996e+20,3.260037282039268e+20
2023-04-02,3.129314413768182e+20,3.46961110731322e+20
2023-04-03,3.418525817275366e+20,3.050463456765315e+20
2023-04-04,3.293367071449879e+20,3.7723288549311526e+20
2023-04-05,3.465904286783235e+20,3.236751301453273e+20
2023-04-06,3.295373962740384e+20,3.725756893759163e+20
2023-04-07,3.346552692075165e+20,3.3803294216648956e+20
2023-04-08,3.380640978890859e+20,3.4993551055263354e+20
2023-04-11,3.4933383906121974e+20,3.665991062932351e+20
2023-04-12,3.3377190194667645e+20,3.8088218835660793e+20
2023-04-13,3.339077804313122e+20,3.3803294216648956e+20
2023-04-14,3.494631999596961e+20,3.3327191481203196e+20
2023-04-17,3.5541110452135566e+20,3.68979619970464e+20
2023-04-18,3.266147473945659e+20,3.9516527041998075e+20
2023-04-19,3.1842362188618315e+20,3.308914011348031e+20
2023-04-20,3.264058739905966e+20,3.2206040895358645e+20
2023-04-21,3.2659510110054626e+20,3.5111849096443645e+20
2023-04-22,3.259761250140277e+20,3.608045183013864e+20
2023-04-23,3.198337226640472e+20,3.5596150463291136e+20
2023-04-28,3.357301362611802e+20,3.5596150463291136e+20
2023-04-29,3.464262238498522e+20,3.317464362905365e+20
2023-04-30,3.7257280996123836e+20,3.5838301146714885e+20
2023-05-03,3.315837001941077e+20,3.414324636274864e+20
2023-05-06,3.221126249554652e+20,3.5556884011192327e+20
2023-05-07,3.156487383952548e+20,3.3170515956749894e+20
2023-05-08,3.26987086583107e+20,3.26932423458614e+20
2023-05-09,3.4085809154598384e+20,3.603415762208082e+20
2023-05-10,3.233909524261008e+20,4.0568256925521445e+20
2023-05-11,3.0953502457233074e+20,3.603415762208082e+20
2023-05-12,3.1522663472681923e+20,3.364778956763838e+20
2023-05-13,3.399150451919982e+20,3.4602336789415356e+20
2023-05-14,3.1963316038730914e+20,4.1522804147298435e+20
2023-05-15,3.233791653676659e+20,3.507961040030384e+20
2023-05-16,3.290981739550773e+20,3.6511431232969304e+20
2023-05-17,3.136471175482494e+20,3.8181888871079005e+20
2023-05-18,3.2247354798049336e+20,3.4730120381571006e+20
2023-05-19,3.051549698528354e+20,3.6946936576139375e+20
2023-05-20,3.237150221198259e+20,3.226699127649506e+20
2023-05-21,3.169690949469335e+20,3.7193249486646975e+20
2023-05-22,3.302765726642779e+20,3.54690591130938e+20
2023-05-23,3.220551803512422e+20,3.793218821816976e+20
2023-05-24,3.335819737446232e+20,3.4730120381571006e+20
2023-05-25,3.387959454580354e+20,3.7193249486646975e+20
2023-05-26,3.326192247080671e+20,3.768587530766216e+20
2023-05-27,3.488863766989016e+20,3.57153720236014e+20
2023-05-28,3.542890396406298e+20,3.9410065681215344e+20
2023-05-29,3.4643314736735034e+20,3.990269150223052e+20
2023-05-30,3.3087086078151315e+20,3.793218821816976e+20
2023-05-31,3.267862593507982e+20,3.4730120381571006e+20
2023-06-01,3.583554865604312e+20,3.361872094940777e+20
2023-06-04,3.3212959344112153e+20,3.7693717428123854e+20
2023-06-05,3.394021246716509e+20,3.51468446289263e+20
2023-06-06,3.2909497960242335e+20,3.8457779267883126e+20
2023-06-07,3.458148119982421e+20,3.4382782789167035e+20
2023-06-08,3.5945215836212134e+20,3.92218411076424e+20
2023-06-09,3.507969590075076e+20,4.304215030643873e+20
2023-06-10,3.595538578216845e+20,3.92218411076424e+20
2023-06-11,3.5443747665586966e+20,4.15140266269202e+20
2023-06-12,3.4570461695421927e+20,3.998590294740167e+20
2023-06-15,3.511057818219904e+20,3.851484601631588e+20
2023-06-16,3.436422445945894e+20,3.9816023246596814e+20
2023-06-17,3.5456802735120155e+20,3.643296244786637e+20
2023-06-18,3.452651758014703e+20,3.929555235448444e+20
2023-06-19,3.417701856098117e+20,3.6953433339978744e+20
2023-06-24,3.759591317142427e+20,3.7994375124203504e+20
2023-06-25,3.6700839312003373e+20,3.9816023246596814e+20
2023-06-26,3.623499157172827e+20,3.7994375124203504e+20
2023-06-29,3.705148447749086e+20,3.6757494030124384e+20
2023-06-30,3.617836098199128e+20,3.977865792301133e+20
2023-07-01,4.0100021904509973e+20,3.348456647949687e+20
2023-07-02,3.643882043068376e+20,4.305158547363884e+20
2023-07-03,3.7014373543132286e+20,3.4491621110459184e+20
2023-07-04,3.832859399232548e+20,3.5498675741421496e+20
2023-07-05,3.65327268052966e+20,3.927513060753017e+20
2023-07-06,4.000955259363683e+20,3.499514842594034e+20
2023-07-07,4.0308182275348975e+20,4.405864010460115e+20
2023-07-08,3.948503082696391e+20,4.4813931077822887e+20
2023-07-09,3.7429206379872754e+20,4.254805815815768e+20
2023-07-10,3.560244609073852e+20,3.8771603292049015e+20
2023-07-11,3.71390452719712e+20,3.398809379497803e+20
2023-07-14,3.6610669372673484e+20,3.6983157453862063e+20
2023-07-15,3.839312648807469e+20,3.6983157453862063e+20
2023-07-16,3.634893333938112e+20,4.153905366194652e+20
2023-07-17,3.891370622872457e+20,3.644716966467565e+20
2023-07-18,3.7510177984232286e+20,4.3415010924098925e+20
2023-07-22,3.7366481426971355e+20,3.591118187548924e+20
2023-07-23,3.732023020197776e+20,3.939510250520088e+20
2023-07-24,3.700332299133085e+20,4.01990841889805e+20
2023-07-25,3.7694326348928804e+20,3.6983157453862063e+20
2023-07-26,3.7110445524009314e+20,3.859112082142128e+20
2023-07-27,3.72660804556243e+20,3.589731212673328e+20
2023-07-28,3.6406661300106376e+20,3.641756302712072e+20
2023-07-29,4.0190448528988976e+20,3.4336559425570963e+20
2023-07-30,3.743074834930293e+20,4.370107563254486e+20
2023-07-31,3.7554547614310446e+20,3.667768847731443e+20
2023-08-01,3.9464900324125396e+20,3.6157437576927e+20
