Date,Predicted_HashRate,Actual_HashRate
2022-09-29,2.773136051264008e+20,2.229286066750628e+20
2022-09-30,2.8677070975325736e+20,2.634610806159833e+20
2022-10-01,2.6541310486553225e+20,2.8216837628102355e+20
2022-10-02,2.622402507627745e+20,2.4475378495094312e+20
2022-10-03,2.6943163586891838e+20,2.4007696103468306e+20
2022-10-04,2.717843524102209e+20,2.541074327834632e+20
2022-10-05,2.5803933808611495e+20,2.728147284485034e+20
2022-10-06,2.672069288107075e+20,2.4787166756178313e+20
2022-10-07,2.6811364742178652e+20,2.6657896322682333e+20
2022-10-08,2.533721878673705e+20,2.728147284485034e+20
2022-10-09,2.614885812132138e+20,2.463127262563631e+20
2022-10-10,2.5047238610465073e+20,2.9739732617887416e+20
2022-10-11,2.3419541484184243e+20,2.7792488220287648e+20
2022-10-12,2.4871045181694797e+20,2.4252043861015337e+20
2022-10-13,2.7016331218773115e+20,2.531417716879703e+20
2022-10-14,2.6342694953099356e+20,2.7615466002324036e+20
2022-10-15,2.538858008967424e+20,2.690737713046957e+20
2022-10-16,2.629699995301882e+20,2.549119938676065e+20
2022-10-17,2.5319998140872245e+20,2.655333269454234e+20
2022-10-18,2.6954201857425673e+20,2.5137154950833416e+20
2022-10-19,2.6186423548284227e+20,2.673035491250595e+20
2022-10-20,2.741210641784949e+20,2.5668221604724264e+20
2022-10-21,2.469935289243908e+20,2.7615466002324036e+20
2022-10-22,2.7380179698858128e+20,2.407502164305172e+20
2022-10-23,2.478875383653531e+20,2.743844378436042e+20
2022-10-24,2.4286666839420355e+20,2.4903119274934908e+20
2022-10-25,2.8197561346501624e+20,2.233956287898573e+20
2022-10-26,2.5190031287373064e+20,2.8382231526580227e+20
2022-10-27,2.84357965203212e+20,2.472000810379568e+20
2022-10-28,2.6803461893540243e+20,2.9114676211137128e+20
2022-10-29,2.523251472942838e+20,2.61848974729095e+20
2022-10-30,2.988353875209643e+20,2.472000810379568e+20
2022-10-31,2.6613263574688154e+20,3.1678232607086313e+20
2022-11-01,2.629699995301882e+20,2.636800864404873e+20
2022-11-02,2.8719254835464438e+20,2.233956287898573e+20
2022-11-03,2.8719254835464438e+20,3.0030232066833265e+20
2022-11-04,2.794392204372501e+20,2.3621341076960313e+20
2022-11-05,2.5806933357340194e+20,2.7649786842023317e+20
2022-11-06,2.675644670432375e+20,2.5086230446074128e+20
2022-11-07,2.8302942731329906e+20,2.6315406942394417e+20
2022-11-08,2.5687519517125486e+20,2.978757869173813e+20
2022-11-09,2.485554597228186e+20,2.722913635011645e+20
2022-11-10,2.2907251944252188e+20,2.6863644587027635e+20
2022-11-11,2.72059493499533e+20,2.448794812695036e+20
2022-11-12,2.8719254835464438e+20,3.0518562217915744e+20
2022-11-13,2.8719254835464438e+20,2.3574218719228327e+20
2022-11-14,2.7306479819561858e+20,2.24777434299619e+20
2022-11-15,2.6672093959486908e+20,2.8325611639382884e+20
2022-11-16,2.4924679577502148e+20,2.7411882231660852e+20
2022-11-17,2.6240558014942098e+20,2.5218931653127986e+20
2022-11-18,2.736686690978719e+20,2.540167753467239e+20
2022-11-19,2.8762151961037613e+20,2.6863644587027635e+20
2022-11-20,2.523251472942838e+20,2.722913635011645e+20
2022-11-21,2.523251472942838e+20,2.369496539708256e+20
2022-11-22,2.7902506213095123e+20,2.3143919690173664e+20
2022-11-23,2.523251472942838e+20,2.5899148224718143e+20
2022-11-24,2.523251472942838e+20,2.369496539708256e+20
2022-11-25,2.523251472942838e+20,2.2592873983264765e+20
2022-11-26,2.6922693812840776e+20,2.002132735102325e+20
2022-11-27,2.7350728903412007e+20,2.498073871320332e+20
2022-11-28,2.3045387644371327e+20,2.5531784420112217e+20
2022-11-29,2.7606585770100477e+20,2.4062329201688488e+20
2022-11-30,3.050756701996825e+20,2.5348102517809247e+20
2022-12-01,2.8719254835464438e+20,2.8103331052353733e+20
2022-12-02,2.3739019576986763e+20,2.2960237787870695e+20
2022-12-03,2.8559890061741474e+20,2.4062329201688488e+20
2022-12-04,2.967439843224253e+20,2.5715466322415183e+20
2022-12-05,2.7399920653874165e+20,2.6817557736232973e+20
2022-12-06,3.198662695557491e+20,2.2980981929995407e+20
2022-12-07,3.1506282493470094e+20,2.9279473273771927e+20
2022-12-08,2.959750507086435e+20,2.8428325794883207e+20
2022-12-09,2.915798436812535e+20,2.5874883358217047e+20
2022-12-10,2.8302835092401118e+20,2.621534234977254e+20
2022-12-11,2.7618809483654395e+20,2.5023735879328327e+20
2022-12-12,3.052861125496969e+20,2.434281789621736e+20
2022-12-13,2.7797715805145245e+20,2.8087866803327723e+20
2022-12-14,2.6364927054089952e+20,2.519396537510608e+20
2022-12-15,2.8719254835464438e+20,2.3661899913106384e+20
2022-12-16,2.5587874837364743e+20,2.2129834451106687e+20
2022-12-17,2.671049366114266e+20,2.349167041732864e+20
2022-12-18,2.516439748291995e+20,2.4683276887772846e+20
2022-12-19,2.601226192367358e+20,2.3151211425773155e+20
2022-12-20,2.6494051861547034e+20,2.4611401515564e+20
2022-12-21,2.4967028526074384e+20,2.5138788690897515e+20
2022-12-22,2.3661609537284414e+20,2.3732422890008143e+20
2022-12-23,2.8719254835464438e+20,2.3205035714674632e+20
2022-12-24,2.618477407178929e+20,1.564581953489426e+20
2022-12-25,2.8719254835464438e+20,2.478719724067517e+20
2022-12-26,2.8719254835464438e+20,2.267764853934111e+20
2022-12-27,3.025000228723826e+20,2.021650838778471e+20
2022-12-28,2.7044938319592754e+20,2.9533681818676796e+20
2022-12-29,2.9163058584928974e+20,2.478719724067517e+20
2022-12-30,2.8967305638504212e+20,2.7775724567565088e+20
2022-12-31,2.9749666950321845e+20,2.7424133117342745e+20
2023-01-01,2.9986422253669666e+20,2.7248337392231573e+20
2023-01-02,2.9734229220047303e+20,2.7424133117342745e+20
2023-01-03,2.838745875661589e+20,2.6099928831940385e+20
2023-01-04,3.0185165935462115e+20,2.4235648201087504e+20
2023-01-05,3.246037498165338e+20,2.6608369003991178e+20
2023-01-06,2.9916439355194756e+20,3.0506410323047206e+20
2023-01-07,2.9799049660563345e+20,2.6099928831940385e+20
2023-01-08,2.988289014886433e+20,2.593044877459012e+20
2023-01-09,3.1760436127118256e+20,2.576096871723986e+20
2023-01-10,2.9382237336988434e+20,2.864212969219432e+20
2023-01-11,2.9466533595325314e+20,2.4913568430488548e+20
2023-01-12,3.088372702819627e+20,2.55914886598896e+20
2023-01-13,3.289410487131613e+20,2.6947329118691695e+20
2023-01-14,3.129571318426244e+20,2.8981089806894845e+20
2023-01-15,2.9583547114615715e+20,2.7625249348092753e+20
2023-01-16,3.076816505801404e+20,2.74688843247084e+20
2023-01-17,2.8228800417173638e+20,2.9150652752751775e+20
2023-01-18,2.8807299291444265e+20,2.6160842214008003e+20
2023-01-19,2.559543201227809e+20,2.7095158007365432e+20
2023-01-20,2.8712284670081755e+20,2.4665936944636117e+20
2023-01-21,2.9992948063455176e+20,2.578711589666503e+20
2023-01-22,3.0826148210176046e+20,2.8216336959394343e+20
2023-01-23,3.137085092915756e+20,2.9524379070094744e+20
2023-01-24,3.2466592608568666e+20,2.4105347468621657e+20
2023-01-25,3.0598332719430205e+20,3.2701052767510004e+20
2023-01-26,3.0448675301139815e+20,2.8963789594080287e+20
2023-01-27,3.1988547566658034e+20,2.8776926435408803e+20
2023-01-28,3.148405736456727e+20,3.13930106568096e+20
2023-01-29,2.8155773585463165e+20,3.1493949960073635e+20
2023-01-30,3.137085092915756e+20,2.6994814251491685e+20
2023-01-31,2.896271976970678e+20,2.2495678542909735e+20
2023-02-01,3.04199621074416e+20,2.6799199655466385e+20
2023-02-02,2.7417374556246875e+20,2.8364116423668803e+20
2023-02-03,2.8862281042915695e+20,2.6016741271365177e+20
2023-02-04,3.1550632478330094e+20,2.660358505944108e+20
2023-02-05,3.0781726877604807e+20,2.973341859584591e+20
2023-02-06,2.989903664807256e+20,2.8950960211744712e+20
2023-02-07,2.943580553880937e+20,2.7777272635592897e+20
2023-02-08,3.259988783960024e+20,2.6994814251491685e+20
2023-02-09,3.025317726382695e+20,3.1689564556098935e+20
2023-02-10,3.032682949342025e+20,2.8755345615719403e+20
2023-02-11,3.210612467430156e+20,2.8950960211744712e+20
2023-02-12,3.132568236371521e+20,3.153289831570438e+20
2023-02-13,3.117827989272483e+20,3.0365013192900516e+20
2023-02-14,3.272208395764403e+20,2.9975718151965894e+20
2023-02-15,3.554733604140587e+20,3.1727545836171697e+20
2023-02-16,3.3608117447582614e+20,3.4841906163648666e+20
2023-02-17,3.4397982871538146e+20,3.211684087710631e+20
2023-02-18,3.375612849521741e+20,3.270078343850824e+20
2023-02-19,3.187653336531548e+20,3.153289831570438e+20
2023-02-20,3.4332879489077995e+20,2.861318550869471e+20
2023-02-21,3.010893704548373e+20,3.2506135918040934e+20
2023-02-22,3.416680293541153e+20,2.725065286542354e+20
2023-02-23,2.839544272968762e+20,3.3284725999910185e+20
2023-02-24,3.137085092915756e+20,2.6277415263086985e+20
2023-02-25,3.335284618424591e+20,2.2900334777153048e+20
2023-02-26,2.977631540383904e+20,3.5955665818333754e+20
2023-02-27,2.912855668962788e+20,2.9963054848611464e+20
2023-02-28,3.482352081487266e+20,2.932098938756979e+20
2023-03-01,3.137085092915756e+20,3.638370945902821e+20
2023-03-02,3.379744344664226e+20,3.0819142130000364e+20
2023-03-03,3.191444590989831e+20,3.5955665818333754e+20
2023-03-04,3.2342347968381184e+20,3.253131669277816e+20
2023-03-05,2.8019581241577927e+20,3.317338215381984e+20
2023-03-06,3.429649331908051e+20,2.8250880285833668e+20
2023-03-07,2.8547744741836954e+20,3.531360035729209e+20
2023-03-08,2.91708242253504e+20,2.8464902106180888e+20
2023-03-09,2.8660532357234406e+20,2.889294574687534e+20
2023-03-10,3.321818572943773e+20,2.9106967567222568e+20
2023-03-11,3.2890036436033025e+20,3.572196959219307e+20
2023-03-12,3.36142942193738e+20,3.485598245056415e+20
2023-03-13,3.3319432564508046e+20,3.398999530893523e+20
2023-03-14,3.3513835697569746e+20,3.1608530669455684e+20
2023-03-15,3.059693352378812e+20,3.182502745486292e+20
2023-03-16,3.426866042274353e+20,2.901056924456892e+20
2023-03-17,3.689144207967104e+20,3.182502745486292e+20
2023-03-18,3.484599832628786e+20,3.507247923597138e+20
2023-03-19,3.610011766027341e+20,3.204152424027015e+20
2023-03-20,3.3905023193286954e+20,3.334050495271354e+20
2023-03-21,3.6059818758019586e+20,3.139203388404846e+20
2023-03-22,3.8538691020703026e+20,3.4422988879749684e+20
2023-03-23,3.612414082697091e+20,3.9618911729523235e+20
2023-03-24,3.236737730339497e+20,3.7723288549311526e+20
2023-03-25,3.2327267574627834e+20,3.376467184969242e+20
2023-03-26,3.297298656561461e+20,3.3531812043832466e+20
2023-03-27,2.958251855909169e+20,3.446325126727226e+20
2023-03-28,3.308894159956022e+20,3.120321398523299e+20
2023-03-29,3.427530324993413e+20,3.4230391461412313e+20
2023-03-30,3.200730323819396e+20,3.6093269908291885e+20
2023-03-31,3.172950512704597e+20,3.2833232626252625e+20
2023-04-01,3.322060488173924e+20,3.260037282039268e+20
2023-04-02,2.6241990358775526e+20,3.46961110731322e+20
2023-04-03,3.479845101760847e+20,3.050463456765315e+20
2023-04-04,3.216713442588441e+20,3.7723288549311526e+20
2023-04-05,3.520531986212122e+20,3.236751301453273e+20
2023-04-06,3.2514929583893466e+20,3.725756893759163e+20
2023-04-07,3.340557953941526e+20,3.3803294216648956e+20
2023-04-08,3.367283886971201e+20,3.4993551055263354e+20
2023-04-09,3.137085092915756e+20,3.475549968754047e+20
2023-04-10,3.546786254471427e+20,2.9280318229914232e+20
2023-04-11,3.5491988480432426e+20,3.665991062932351e+20
2023-04-12,3.293980858042259e+20,3.8088218835660793e+20
2023-04-13,3.2743866433475484e+20,3.3803294216648956e+20
2023-04-14,3.543331875951068e+20,3.3327191481203196e+20
2023-04-15,3.137085092915756e+20,3.761211610021503e+20
2023-04-16,3.465271740207936e+20,2.951836959763711e+20
2023-04-17,3.629629880655861e+20,3.68979619970464e+20
2023-04-18,3.1909628316901337e+20,3.9516527041998075e+20
